PTM#,Final determination,genetic match/notes,Determination in the field,Qualifier,DNA location,Extra DNA Sample,Date of Extraction,PCR results,CO1,psbA,rbcL,Voucher location,BOLDNumber,GenbankNumber,Red/Coralline/Green/Brown,Country,StateProvince,Locality,Date Collected,Reproductive Status,Field Notes,Accession #,Missing accession,Habitat,Depth,Fragments available?,Latitude,Longitude,Primary Collector,Other collectors,Determined by,Determination Date,Project
344,,psbA failed,Pseudolithophyllum whidbeyense,,Martonelab,,,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, Fifth beach, exposed pt",15-Aug-2012,,,A89295,,"low intertidal, on wall under Hedophyllum",,,,,,,,,
345,,psbA failed (ask Paul re: rbcL),Lithophyllum impressum,,Martonelab,,,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, fifth beach, exposed pt",15-Aug-2012,,,A89296,,"high, tidepool",,,,,,,,,
346,,No more DNA,"""crust""",,Martonelab,,2013-05-13,,,,,Herbarium,,,Coralline,Italy,,Wizard Island,2011 Sep,,PTM: possible Crusticorallina sp.,A89656,,low intertidal,,,,,,,,,
350,,"messy sequence, gave up","""crust"", bumpy",,Martonelab,,2013-05-13,,,R,,Herbarium,,,Coralline,Italy,,"Italy, 2 km south of Livorno",28-May-2012,,bumpy,A89663,,"mid, in shallow pool with Ulva and Corallina",,,,,,,,,
351,Lithophyllum sp.5,,"""crust"", smooth, grey",,Martonelab,,2013-05-13,,,F,,Herbarium,,,Coralline,Italy,,"Italy, 2 km south of Livorno",28-May-2012,,smooth,A89664,,"low, in small tide pool",,,,,,,,,
352,,psbA failed,Jania sp.,,Martonelab,,2013-05-13,,,,,Herbarium,,,Coralline,Italy,,"Italy, 2 km south of Livorno",28-May-2012,,,A89666,,low tidepool,,,,,,,,,
353,,psbA failed,Corallina elongata,,Martonelab,,2013-09-20,,,,,Herbarium,,,Coralline,Italy,,"Italy, 2 km south of Livorno",28-May-2012,,near mussels,A89667,,crevice in low tidepool,,,,,,,,,
354,,no more DNA,Amphiroa sp.,,None,,,,,,,Herbarium,,,Coralline,Italy,,"Italy, 2 km south of Livorno",28-May-2012,,on side wall of large tide pool,A89668,,"mid intertidal in large, deep tidepool",,,,,,,,,
355,Bossiella reptans,,Bossiella reptans,,Martonelab,,2013-03-18,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, North Beach Bench",4-Jul-2012,,,A89697,,"low, under phyllo",,,,,,,,,
356,Chiharaea silvae,,Chiharaea silvae,,Martonelab,,2012-07-13,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, North Beach Bench",4-Jul-2012,,same colour and branching as C. silvae in field; note nipples,A89698,,"low, under Alaria",,,,,,,,,
357,Chiharaea silvae,,Chiharaea silvae,,None,,2012-07-13,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, North Beach Bench",4-Jul-2012,,,A89699,,low,,,,,,,,,
358,Chiharaea silvae,,Chiharaea silvae,,None,,2013-03-18,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, North Beach Bench",4-Jul-2012,,,A89700,,"low, under Alaria",,,,,,,,,
359,Bossiella schmittii,,Bossiella schmittii,,None,,2013-03-18,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, North Beach Bench",4-Jul-2012,,DNA? Needed?,A89701,,"low, under phyllo",,,,,,,,,
360,,psbA failed,Bossiella plumosa,,None,,2013-03-18,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, North Beach Bench",4-Jul-2012,,Q2,A89702,,low,,,,,,,,,
361,Chiharaea americana f. bodegensis,,Chiharaea bodegensis,,None,,2012-07-13,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, 5th Beach, exposed site",6-Jul-2012,,,A89703,,"low, under Alaria",,,,,,,,,
362,Corallina sp. 1frondescens,,Corallina officinalis,,None,,2012-07-13,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, North Beach Bench",4-Jul-2012,,"Q1; ""spindly""",A89704,,low,,,,,,,,,
363,Corallina sp.1 california,messy CO1,Corallina californiensis,,None,,2012-07-13,,FR,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, 5th Beach",5-Jul-2012,,collector: S. Lindstrom,A89705,,low on rick in sand,,,,,,,,,
364,Calliarthron tuberculosum,for phylogeny,Bossiella sp.,,None,,2012-07-13,,FR,FR,FR,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, North Beach Bench",7-Jul-2012,,,A89706,,in low tidepool,,,,,,,,,
365,Calliarthron tuberculosum,,Bossiella sp.,,None,,2012-07-13,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, North Beach Bench",7-Jul-2012,,,A89707,,in low tidepool,,,,,,,,,
366,Bossiella californica,,Bossiella sp.,,None,,2012-07-13,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, North Beach Bench",7-Jul-2012,,conceptacles on both sides irregular placement; plants emerging from central point,A89708,,low,,,,,,,,,
