PTM#,Final determination,genetic match/notes,Determination in the field,Qualifier,DNA location,Extra DNA Sample,Date of Extraction,PCR results,CO1,psbA,rbcL,Voucher location,BOLDNumber,GenbankNumber,Red/Coralline/Green/Brown,Country,StateProvince,Locality,Date Collected,Reproductive Status,Field Notes,Accession #,Missing accession,Habitat,Depth,Fragments available?,Latitude,Longitude,Primary Collector,Other collectors,Determined by,Determination Date,Project
15,Bossiella dichotoma,NA,Bossiella orbigniana,NA,NA,NA,2007-10-01,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Crystal  Cove, Laguna Beach, CA",28-Aug-2007,NA,NA,A88582,NA,Collected from drift,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,psbA failed,Melobesia mediocris,NA,NA,NA,2013-04-10,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",2007 Sep 26,NA,2 DNA samples (one from Paul),A88583,NA,"On Phyllospadix, in low intertidal, down from HMS water towers",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Callilithophytum parcum,NA,Clathromorphum parcum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",2007 Sep 26,NA,NA,A88584,NA,"On Calliarthron,low intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Bossiella dichotoma,NA,Bossiella gardneri (?),NA,NA,NA,2007-10-24,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",2007 Sep 26,NA,NA,A88585,NA,"Epilithic, low intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Bossiella dichotoma,NA,Bossiella dichotoma (?),NA,NA,NA,2007-10-24,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",2007 Sep 26,NA,NA,A88586,NA,"epilithic, low intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,Bossiella Californica? needs forward sequence,Bossiella corymbifera,NA,NA,NA,2013-04-24,NA,,R,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",2007 Sep 26,NA,NA,A88587,NA,"Epilithic, low intertidal, one headland East of Pt. Pinos",NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Bossiella californica,NA,Bossiella corymbifera,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",1 Dec 2007,NA,NA,A88588,NA,"drift, Agassiz Beach",NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"no amp, no material remaining",NA,Melobesia marginata,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",4-Dec-2007,NA,NA,A88589,NA,On Gymnogongrus collected in drift on Agassiz Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Corallina pinnatifolia,"psbA failed; NEED RESEARCH ANNOTATION, PWG has sequence",Corallina pinnatifolia,NA,NA,NA,2013-04-24,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Corona del Mar, Laguna Beach, CA",2007 Oct 10,NA,NA,A88590,NA,"Epilithic, growing in tidepool",NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Calliarthron cheilosporioides,NA,Calliarthron sp.,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",8 Jan 2008,NA,NA,A87287,NA,epilithic low intertidal,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",8-Jan-2008,NA,NA,A87288,NA,"Upper low intertidal, above C. cheilosporioides, forming low dense monospecific clusters",NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,did not attempt because we have enough C. cheilosporioides sequences,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,NA,A87289,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",-0.5,NA,NA,NA,NA,NA,NA,NA,NA
31,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,NA,A87290,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",-0.5,NA,NA,NA,NA,NA,NA,NA,NA
32,Calliarthron cheilosporioides,NA,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,NA,A87291,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",-0.5,NA,NA,NA,NA,NA,NA,NA,NA
33,Bossiella dichotoma,NA,Bossiella gardneri,NA,NA,NA,2008-02-23,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,NA,A88591,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",-0.5,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,psbA failed,Bossiella gardneri,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,NA,A88592,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",-0.5,NA,NA,NA,NA,NA,NA,NA,NA
35,Bossiella dichotoma,NA,Bossiella gardneri,NA,NA,NA,2008-02-25,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,NA,A88593,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",-0.5,NA,NA,NA,NA,NA,NA,NA,NA
36,Bossiella plumosa,NA,Bossiella plumosa,NA,NA,NA,2013-04-24,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,NA,A88594,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",-0.5,NA,NA,NA,NA,NA,NA,NA,NA
37,Corallina sp. 4frondescens,NA,Clathromorphum reclinatum,NA,NA,NA,2013-04-10,NA,,F,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,NA,A88595,NA,"Epilithic, -0.5 - 0.0m, down from 4 dynamometer tidepool",-0.5,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,psbA failed,Bossiella corymbifera,NA,NA,NA,2013-04-24,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,NA,A88596,NA,"Epilithic, -0.5 - 0.0m, down from 4 dynamometer tidepool",-0.5,NA,NA,NA,NA,NA,NA,NA,NA
39,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,NA,A87292,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",-0.5,NA,NA,NA,NA,NA,NA,NA,NA
40,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,NA,A87293,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",-0.5,NA,NA,NA,NA,NA,NA,NA,NA
41,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,NA,A87294,NA,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",-0.5,NA,NA,NA,NA,NA,NA,NA,NA
42,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-2008,NA,NA,A87295,NA,epilithic below 4 dyno tidep,4 dy,NA,NA,NA,NA,NA,NA,NA,NA
43,Bossiella californica,NA,Bossiella californica,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Pt. Pinos, Pacific Grove, CA",7-Feb-2008,NA,NA,A88597,NA,"Epilithic, low intertidal, East of point",NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Pt. Pinos, Pacific Grove, CA",7-Feb-2008,NA,NA,A87296,NA,"Epilithic, low intertidal, E. side of Point",NA,NA,NA,NA,NA,NA,NA,NA,NA
