folder,file,ptm,gene,other
PTM001-500,PTM321,RbcL/321-F57,tlf5,NA
PTM001-500,PTM321,RbcL/321-F57,tlr1,NA
PTM001-500,PTM322,RbcL/322-F57,f57,NA
PTM001-500,PTM323,RbcL/323-F753,rrbcsst,NA
PTM001-500,PTM324,RbcL/324-F57,f57,NA
PTM001-500,PTM325,RbcL/325-F57,f57,NA
PTM001-500,PTM326,RbcL/326-F753,rrbcsst,NA
PTM001-500,PTM327,PTM327,,GWSRx
PTM001-500,PTM327,PTM327,f57,P1410467
PTM001-500,PTM327,PTM327,gwsfn,P1410467
PTM001-500,PTM327,PTM327,psbaf,P1410467
PTM001-500,PTM327,PTM327,psbar2,P1410467
PTM001-500,PTM327,PTM327,rbclrevnew,P1410467
PTM001-500,PTM327,PTM327,tlf5,P1410467
PTM001-500,PTM327,PTM327,tlr,P1410467
PTM001-500,PTM327,RbcL/327-F753,rrbcsst,NA
PTM001-500,PTM328,RbcL/328-F753,rrbcsst,NA
PTM001-500,PTM330,RbcL/330-F753,rrbcsst,NA
PTM001-500,PTM331,RbcL/331-F57,f57,NA
PTM001-500,PTM332,RbcL/332-F57,f57,NA
PTM001-500,PTM332,RbcL/332-F753,rrbcsst,NA
PTM001-500,PTM333,RbcL/333-F57,f57,NA
PTM001-500,PTM334,RbcL/334-F753,rrbcsst,NA
PTM001-500,PTM335,RbcL/335-F57,f57,NA
PTM001-500,PTM336,RbcL/336-F57,f57,NA
PTM001-500,PTM337,RbcL/337-F57,f57,NA
PTM001-500,PTM339,PTM339,psbar2,P1409319
PTM001-500,PTM339,RbcL/339-F753,rrbcsst,NA
PTM001-500,PTM340,PTM340,psbar2,P1409319
PTM001-500,PTM345,RbcL/345-F753,rrbcsst,NA
PTM001-500,PTM350,PTM350,psbar2,P1409319
PTM001-500,PTM351,PTM351,psbaf,P1409947
PTM001-500,PTM351,PTM351,psbar2,P1409319
PTM001-500,PTM355,RbcL/355-F57,f57,NA
PTM001-500,PTM355,RbcL/355-F57,rbclrevnew,NA
PTM001-500,PTM355,RbcL/355-F57,tlf5,NA
PTM001-500,PTM355,RbcL/355-F57,tlr1,NA
PTM001-500,PTM356,RbcL/356-F753,rrbcsst,NA
PTM001-500,PTM357,RbcL/357-F753,rrbcsst,NA
PTM001-500,PTM358,RbcL/358-F57,f57,NA
